id,region_id,name,created_at,updated_at
50,22,"{""en"": ""Kaluga"", ""ru"": ""Калуга""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
51,24,"{""en"": ""Kemerovo"", ""ru"": ""Кемерово""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
52,25,"{""en"": ""Kirov"", ""ru"": ""Киров (Кировская область)""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
53,26,"{""en"": ""Kostroma"", ""ru"": ""Кострома""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
54,28,"{""en"": ""Kurgan"", ""ru"": ""Курган""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
55,29,"{""en"": ""Kursk"", ""ru"": ""Курск""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
56,72,"{""en"": ""Kyzyl"", ""ru"": ""Кызыл""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
57,32,"{""en"": ""Magadan"", ""ru"": ""Магадан""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
58,19,"{""en"": ""Magas"", ""ru"": ""Магас""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
59,58,"{""en"": ""Maikop"", ""ru"": ""Майкоп""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
60,61,"{""en"": ""Mahachkala"", ""ru"": ""Махачкала""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
61,34,"{""en"": ""Murmansk"", ""ru"": ""Мурманск""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
62,62,"{""en"": ""Nal'chik"", ""ru"": ""Нальчик""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
63,39,"{""en"": ""Orel"", ""ru"": ""Орел""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
64,65,"{""en"": ""Petrozavodsk"", ""ru"": ""Петрозаводск""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
65,23,"{""en"": ""Petropavlovsk-Kamchatskii"", ""ru"": ""Петропавловск-Камчатский""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
66,42,"{""en"": ""Pskov"", ""ru"": ""Псков""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
67,68,"{""en"": ""Saransk"", ""ru"": ""Саранск""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
68,89,"{""en"": ""Sevastopol'"", ""ru"": ""Севастополь""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
69,48,"{""en"": ""Smolensk"", ""ru"": ""Смоленск""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
70,5,"{""en"": ""Stavropol'"", ""ru"": ""Ставрополь""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
71,66,"{""en"": ""Syktyvkar"", ""ru"": ""Сыктывкар""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
72,49,"{""en"": ""Tambov"", ""ru"": ""Тамбов""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
73,21,"{""en"": ""Tver'"", ""ru"": ""Тверь""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
74,50,"{""en"": ""Tomsk"", ""ru"": ""Томск""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
75,51,"{""en"": ""Tula"", ""ru"": ""Тула""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
76,60,"{""en"": ""Ulan-Ude"", ""ru"": ""Улан-Удэ""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
77,76,"{""en"": ""Cheboksary"", ""ru"": ""Чебоксары""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
78,70,"{""en"": ""Cherkessk"", ""ru"": ""Черкесск""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
79,55,"{""en"": ""Chita"", ""ru"": ""Чита""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
80,64,"{""en"": ""Elista"", ""ru"": ""Элиста""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
81,46,"{""en"": ""Yuzhno-Sahalinsk"", ""ru"": ""Южно-Сахалинск""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
82,77,"{""en"": ""Yakutsk"", ""ru"": ""Якутск""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
83,74,"{""en"": ""Abaza"", ""ru"": ""Абаза""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
84,3,"{""en"": ""Aban"", ""ru"": ""Абан""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
85,52,"{""en"": ""Abatskiy"", ""ru"": ""Абатский""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
86,38,"{""en"": ""Abdulino"", ""ru"": ""Абдулино""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
87,2,"{""en"": ""Abinsk"", ""ru"": ""Абинск""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
88,2,"{""en"": ""Abrau-Durso"", ""ru"": ""Абрау-Дюрсо""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
89,4,"{""en"": ""Avangard"", ""ru"": ""Авангард""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
90,30,"{""en"": ""Agalatovo"", ""ru"": ""Агалатово""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
91,54,"{""en"": ""Agapovka"", ""ru"": ""Агаповка""}","2018-07-03 16:30:13","2018-07-03 16:30:13"
