id,city_id,name,created_at,updated_at
49,1,"{""en"": ""Динамо"", ""ru"": ""Динамо""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
50,1,"{""en"": ""Дмитровская"", ""ru"": ""Дмитровская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
51,1,"{""en"": ""Добрынинская"", ""ru"": ""Добрынинская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
52,1,"{""en"": ""Домодедовская"", ""ru"": ""Домодедовская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
53,1,"{""en"": ""Достоевская"", ""ru"": ""Достоевская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
54,1,"{""en"": ""Дубровка"", ""ru"": ""Дубровка""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
55,1,"{""en"": ""Жулебино"", ""ru"": ""Жулебино""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
56,1,"{""en"": ""ЗИЛ"", ""ru"": ""ЗИЛ""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
57,1,"{""en"": ""Зорге"", ""ru"": ""Зорге""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
58,1,"{""en"": ""Зябликово"", ""ru"": ""Зябликово""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
59,1,"{""en"": ""Измайлово"", ""ru"": ""Измайлово""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
60,1,"{""en"": ""Измайловская"", ""ru"": ""Измайловская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
61,1,"{""en"": ""Калужская"", ""ru"": ""Калужская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
62,1,"{""en"": ""Кантемировская"", ""ru"": ""Кантемировская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
63,1,"{""en"": ""Каховская"", ""ru"": ""Каховская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
64,1,"{""en"": ""Каширская"", ""ru"": ""Каширская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
65,1,"{""en"": ""Киевская"", ""ru"": ""Киевская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
66,1,"{""en"": ""Китай-город"", ""ru"": ""Китай-город""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
67,1,"{""en"": ""Кожуховская"", ""ru"": ""Кожуховская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
68,1,"{""en"": ""Коломенская"", ""ru"": ""Коломенская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
69,1,"{""en"": ""Комсомольская"", ""ru"": ""Комсомольская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
70,1,"{""en"": ""Коньково"", ""ru"": ""Коньково""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
71,1,"{""en"": ""Коптево"", ""ru"": ""Коптево""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
72,1,"{""en"": ""Котельники"", ""ru"": ""Котельники""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
73,1,"{""en"": ""Красногвардейская"", ""ru"": ""Красногвардейская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
74,1,"{""en"": ""Краснопресненская"", ""ru"": ""Краснопресненская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
75,1,"{""en"": ""Красносельская"", ""ru"": ""Красносельская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
76,1,"{""en"": ""Красные ворота"", ""ru"": ""Красные ворота""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
77,1,"{""en"": ""Крестьянская застава"", ""ru"": ""Крестьянская застава""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
78,1,"{""en"": ""Кропоткинская"", ""ru"": ""Кропоткинская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
79,1,"{""en"": ""Крылатское"", ""ru"": ""Крылатское""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
80,1,"{""en"": ""Крымская"", ""ru"": ""Крымская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
81,1,"{""en"": ""Кузнецкий мост"", ""ru"": ""Кузнецкий мост""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
82,1,"{""en"": ""Кузьминки"", ""ru"": ""Кузьминки""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
83,1,"{""en"": ""Кунцевская"", ""ru"": ""Кунцевская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
84,1,"{""en"": ""Курская"", ""ru"": ""Курская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
85,1,"{""en"": ""Кутузовская"", ""ru"": ""Кутузовская""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
86,1,"{""en"": ""Ленинский проспект"", ""ru"": ""Ленинский проспект""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
87,1,"{""en"": ""Лермонтовский проспект"", ""ru"": ""Лермонтовский проспект""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
